Date,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2022-03-08,,,,,,TCS.NS,3404.495849609375,3413.0545390611783,3272.144279620858,3272.144279620858,3300992.0,,,,,,,,,,
2023-11-02,,,,,,INFY.NS,,,,,,1317.2105712890625,1323.1229728710377,1309.0389917857558,1317.0663434741273,3758060.0,,,,,
2019-01-11,,,,,,HDFCBANK.NS,,,,,,,,,,,996.4655151367188,1002.1747488133996,994.6254098392873,997.3620682561572,3204020.0
2017-05-29,,,,,,INFY.NS,,,,,,397.90313720703125,402.56818949717217,394.0862672779472,400.22556829086665,6308434.0,,,,,
2011-10-24,,,,,,INFY.NS,,,,,,252.56922912597656,253.25374803792,250.18709439940676,250.9902677125904,6075592.0,,,,,
2010-01-13,,,,,,TCS.NS,309.8990478515625,312.9841013194925,292.64642333511483,292.78396325336007,10910272.0,,,,,,,,,,
2020-05-11,,,,,,HDFCBANK.NS,,,,,,,,,,,869.58203125,905.8541918216755,867.8728839884816,889.712135992568,14275392.0
2013-07-09,,,,,,HDFCBANK.NS,,,,,,,,,,,304.75921630859375,306.3278020696227,301.07647386991795,301.07647386991795,3520096.0
2020-06-23,,,,,,TCS.NS,1888.32763671875,1896.3993499019803,1864.8545466257242,1880.6269482638522,4205944.0,,,,,,,,,,
2019-05-10,,,,,,INFY.NS,,,,,,612.49951171875,620.3175847838248,610.9188334992214,615.8745282919349,8352335.0,,,,,
2023-07-06,1209.3914794921875,1212.0038470194174,1180.6548305467759,1180.6548305467759,19117987.0,RELIANCE.NS,,,,,,,,,,,,,,,
2011-07-27,,,,,,TCS.NS,460.17431640625,463.1829092664643,456.5640049739928,460.89634931191176,2024290.0,,,,,,,,,,
2022-01-13,,,,,,INFY.NS,,,,,,1738.71875,1753.110250829773,1710.8064176918188,1746.2353086696562,14277630.0,,,,,
